sentiment,text,user
"neutral","RT @3novices: Angela Merkel calls Russian invasion 'turning point' for Europe https://t.co/necmWFxpyd #3Novices #Meghashyam Thiruveedula #D…","LuisaRagni"
"negative","RT @DominoDataLab: Learn from the creators of @RayDistributed and #Python to the leaders implementing cutting edge data science at the worl…","XeronBot"
"negative","RT @DominoDataLab: Learn from the creators of @RayDistributed and #Python to the leaders implementing cutting edge data science at the worl…","grantho"
"neutral","RT @ragipsoylu: Current control of territory in Ukraine by ISW https://t.co/iziuALTFXx","Data_Science_11"
"neutral","Technically, if 442.2% of the population is in the medium risk category, that would be all of the US population 4.4… https://t.co/ZJOIVwqyAr","sporksys"
"negative","@rachbarnhart With due respect, your point was bashing medtwitter for saying because CDC guidance has changed, with… https://t.co/BPQ8On4i2W","PaulKingsley7"
"neutral","RT @ipfconline1: Different Roles In #DataScience\n\nhttps://t.co/JQ7dnutrtO v/ @DataScienceDojo\n\n#AI #MachineLearning #100daysOfCode #Python…","sprint_code"
"neutral","\"Investigadores del Instituto de Big Data de la Universidad de Oxford han dado un gran paso haci cartografía de la… https://t.co/luZh925rgT","Mximo49328434"
"neutral","By Kurt Cagle 👨 https://t.co/OnRV4m88my\nScene Graphs and Semantics 🌎 https://t.co/E6VpnFIg4l on Data Science Centra… https://t.co/y3uedMiF4Y","Datasciencectrl"
"positive","RT @udemy_offer: Free Udemy Certificate Course- 100+ Exercises - Python - Data Science - NumPy - 2022\n\nhttps://t.co/FXWcvELoeH\n\n#Developers…","websketchtech"
"positive","RT @VPrasadMDMPH: Wow, I see the CDC now recommends you wear a mask that does NOT work (cloth) at a threshold that is NOT based on any data…","Padres1955"
"neutral","RT @Fransisco1530: ウクライナ側の情報ですが、ロシア軍兵士3500名が戦死とのこと\n\nなにが悲しいって、亡くなっていったロシア兵達は独裁者の野望のために兄弟国に侵略する捨て駒とされた上、世界中から悪として罵倒される。\nきっと平時なら普通にいい人達のはずだ。やり…","Data_Science_11"
"positive","RT @VPrasadMDMPH: Wow, I see the CDC now recommends you wear a mask that does NOT work (cloth) at a threshold that is NOT based on any data…","nolele20"
"neutral","RT @driainstyles: Professorial posts in Computer Science @uobcompsci @unibirmingham. Strength in AI, Data Science, Computational Life Scien…","sagzehn"
"positive","@tunguz I interviewed several data science candidates this week. For tech ?s, I asked primarily about the different… https://t.co/VTlMa23fk3","natevrack"
"positive","RT @VPrasadMDMPH: Wow, I see the CDC now recommends you wear a mask that does NOT work (cloth) at a threshold that is NOT based on any data…","Mari0Bishara"
"positive","RT @VPrasadMDMPH: Wow, I see the CDC now recommends you wear a mask that does NOT work (cloth) at a threshold that is NOT based on any data…","VslMl1"
"negative","RT @Moth74013415: @helensaxby11 @Christi49034502 @timspector @TwinsUKres Bloody hell! Downloaded it this morning to start filling in daily…","virtuallyearth"
"positive","RT @VPrasadMDMPH: Wow, I see the CDC now recommends you wear a mask that does NOT work (cloth) at a threshold that is NOT based on any data…","rgrayaz"
"positive","@notyourhacker_ Data Science is an amazing field too.🙌","ANoorTM"
"neutral","@ConcernedinPV @Badams820 @CosmicIndiffer1 @MistressRedWasp @asjah8 @Wanderinglord @Vickie627 @radicalcentrst… https://t.co/GxhgvsFPaz","queenicarius1"
"positive","RT @VPrasadMDMPH: Wow, I see the CDC now recommends you wear a mask that does NOT work (cloth) at a threshold that is NOT based on any data…","awoken36"
"positive","RT @VPrasadMDMPH: Wow, I see the CDC now recommends you wear a mask that does NOT work (cloth) at a threshold that is NOT based on any data…","JonEmerick1"
